mcrnum,rsrr,z2_rsrr,HRRCODE,HRRNAME
10005,0.36757275,0.64416462,1,"Birmingham,AL"
10006,0.28274688,-0.38362411,1,"Birmingham,AL"
10009,0.34669617,0.39121446,1,"Birmingham,AL"
10011,0.30938369,-0.060880449,1,"Birmingham,AL"
10012,0.38847616,0.89743984,1,"Birmingham,AL"
10016,0.28008899,-0.41582832,1,"Birmingham,AL"
10019,0.30794069,-0.078364477,1,"Birmingham,AL"
10025,0.34747103,0.40060303,1,"Birmingham,AL"
10029,0.27434051,-0.4854795,1,"Birmingham,AL"
10032,0.32169768,0.088321462,1,"Birmingham,AL"
10033,0.33646074,0.26719737,1,"Birmingham,AL"
10035,0.30418313,-0.12389285,1,"Birmingham,AL"
10038,0.30063534,-0.16687946,1,"Birmingham,AL"
10040,0.34959733,0.4263663,1,"Birmingham,AL"
10043,0.32422149,0.11890108,1,"Birmingham,AL"
10046,0.34995502,0.43070021,1,"Birmingham,AL"
10050,0.34074733,0.31913561,1,"Birmingham,AL"
10052,0.28165177,-0.39689302,1,"Birmingham,AL"
10056,0.31569225,0.015556872,1,"Birmingham,AL"
10059,0.33228791,0.21663743,1,"Birmingham,AL"
10065,0.30328256,-0.13480453,1,"Birmingham,AL"
10073,0.299757,-0.17752175,1,"Birmingham,AL"
10078,0.29657251,-0.21610656,1,"Birmingham,AL"
10086,0.33914062,0.29966804,1,"Birmingham,AL"
10089,0.28004012,-0.41642052,1,"Birmingham,AL"
10101,0.31067699,-0.04521022,1,"Birmingham,AL"
10103,0.27838695,-0.43645102,1,"Birmingham,AL"
10104,0.27614918,-0.46356481,1,"Birmingham,AL"
10112,0.30906832,-0.064701594,1,"Birmingham,AL"
10114,0.30912712,-0.063989148,1,"Birmingham,AL"
10118,0.34209287,0.33543882,1,"Birmingham,AL"
10125,0.33923957,0.3008669,1,"Birmingham,AL"
10130,0.28567058,-0.34819928,1,"Birmingham,AL"
10137,0.32801768,0.16489744,1,"Birmingham,AL"
10139,0.28313607,-0.37890851,1,"Birmingham,AL"
10146,0.28984424,-0.29762924,1,"Birmingham,AL"
10157,0.28542876,-0.35112923,1,"Birmingham,AL"
10158,0.36877778,0.65876532,1,"Birmingham,AL"
10164,0.33408216,0.23837736,1,"Birmingham,AL"
250002,0.30209231,-0.14922607,1,"Birmingham,AL"
10001,0.27546614,-0.47184083,2,"Dothan,AL"
10007,0.33204719,0.21372084,2,"Dothan,AL"
10021,0.31134063,-0.037169281,2,"Dothan,AL"
10049,0.25936684,-0.66690731,2,"Dothan,AL"
10055,0.26493204,-0.59947687,2,"Dothan,AL"
10062,0.26209867,-0.63380718,2,"Dothan,AL"
10069,0.32312682,0.10563757,2,"Dothan,AL"
100142,0.30574694,-0.10494494,2,"Dothan,AL"
110194,0.32435423,0.12050942,2,"Dothan,AL"
10010,0.30751085,-0.083572596,5,"Huntsville,AL"
10039,0.3202996,0.071381614,5,"Huntsville,AL"
10054,0.33135748,0.20536394,5,"Huntsville,AL"
10061,0.35338661,0.47227889,5,"Huntsville,AL"
10079,0.29353034,-0.25296676,5,"Huntsville,AL"
10085,0.3053433,-0.10983565,5,"Huntsville,AL"
10131,0.29602763,-0.22270852,5,"Huntsville,AL"
440102,0.35112917,0.44492677,5,"Huntsville,AL"
10015,0.33300298,0.22530164,6,"Mobile,AL"
10083,0.26232201,-0.63110113,6,"Mobile,AL"
10087,0.32124978,0.082894512,6,"Mobile,AL"
10090,0.28004605,-0.41634867,6,"Mobile,AL"
10091,0.31459293,0.002237033,6,"Mobile,AL"
10100,0.2547709,-0.72259372,6,"Mobile,AL"
10113,0.33338183,0.22989191,6,"Mobile,AL"
10120,0.33154705,0.20766088,6,"Mobile,AL"
10128,0.32436353,0.12062208,6,"Mobile,AL"
10144,0.32077715,0.077167854,6,"Mobile,AL"
10152,0.32820788,0.16720198,6,"Mobile,AL"
250036,0.33550018,0.25555879,6,"Mobile,AL"
250040,0.3422699,0.33758375,6,"Mobile,AL"
10008,0.31288382,-0.018471241,7,"Montgomery,AL"
10023,0.28676718,-0.3349123,7,"Montgomery,AL"
10024,0.27162313,-0.51840448,7,"Montgomery,AL"
10034,0.34856197,0.4138214,7,"Montgomery,AL"
10047,0.36464319,0.60866868,7,"Montgomery,AL"
10097,0.3472065,0.39739791,7,"Montgomery,AL"
10108,0.29546851,-0.2294831,7,"Montgomery,AL"
10110,0.38768506,0.88785446,7,"Montgomery,AL"
10126,0.33180591,0.21079738,7,"Montgomery,AL"
10148,0.31998533,0.06757383,7,"Montgomery,AL"
10149,0.2406178,-0.89407921,7,"Montgomery,AL"
10150,0.33905131,0.29858583,7,"Montgomery,AL"
10045,0.31334686,-0.012860855,9,"Tuscaloosa,AL"
10092,0.32370812,0.1126808,9,"Tuscaloosa,AL"
10095,0.30295765,-0.13874123,9,"Tuscaloosa,AL"
10109,0.27658671,-0.45826352,9,"Tuscaloosa,AL"
10145,0.30200171,-0.15032382,9,"Tuscaloosa,AL"
20001,0.20176814,-1.3647993,10,"Anchorage,AK"
20006,0.21062399,-1.2574978,10,"Anchorage,AK"
20012,0.24438676,-0.84841269,10,"Anchorage,AK"
20017,0.25365993,-0.73605478,10,"Anchorage,AK"
20024,0.31671464,0.027944716,10,"Anchorage,AK"
20026,0.29239079,-0.26677409,10,"Anchorage,AK"
30036,0.27505016,-0.47688103,11,"Mesa,AZ"
30065,0.32178265,0.089350954,11,"Mesa,AZ"
30088,0.27044442,-0.53268629,11,"Mesa,AZ"
30105,0.37002373,0.67386174,11,"Mesa,AZ"
30119,0.27168459,-0.5176599,11,"Mesa,AZ"
30120,0.2408767,-0.89094216,11,"Mesa,AZ"
30121,0.27490166,-0.4786804,11,"Mesa,AZ"
30122,0.26697949,-0.574669,11,"Mesa,AZ"
30001,0.29974279,-0.17769399,12,"Phoenix,AZ"
30002,0.28245777,-0.38712713,12,"Phoenix,AZ"
30007,0.20991172,-1.2661279,12,"Phoenix,AZ"
30012,0.28236872,-0.38820609,12,"Phoenix,AZ"
30013,0.28397226,-0.36877683,12,"Phoenix,AZ"
30014,0.272412,-0.50884622,12,"Phoenix,AZ"
30016,0.2950581,-0.23445578,12,"Phoenix,AZ"
